Station,Entrances,Primary Line,Lines,Borough
Kew Gardens Union Tpke,Queens Blvd and 78th Ave,F,"F,E",QUEENS
75 Av,Queens Blvd and 75th Ave,F,"F,F Express,E",QUEENS
Forest Hills-71 Av,Queens Blvd and 70 Rd,F,"F,F Express,E",QUEENS
Jackson Heights-Roosevelt Av,4 St and Roosevelt Ave,F,"F,F Express,E,7",QUEENS
21 St Queensbridge,21 St and 41st Ave,F,"F,",QUEENS
Roosevelt Island,W Rd,F,"F,",MANHATTAN
Lexington Av/63 Street,Lexington Ave and E 63 St,F,"F,",MANHATTAN
57 Street,6th Ave and W 57 St,F,"F,",MANHATTAN
47-50 Sts Rockefeller Ctr,6th Ave and W 50 St,F,"F,F Express,B,D",MANHATTAN
42 St Bryant Park,6th Ave and W 42 St,F,"F,F Express,B,D,7",MANHATTAN
34 St Herald Sq,W 35 St between Broadway and 6th Ave,F,"F,F Express,B,D",MANHATTAN
23 St,23rd St and 6th Ave,F,"F,",MANHATTAN
14 St,W 14 St and 7th Ave,F,"F,1,2,3",MANHATTAN
